category,company,date,link,press,title
LP기업,한국선재,2019-11-15,http://hobbyissue.co.kr/news/view/118271,하빗슈, 장중시세  14일 한국선재 거래가격 3 000원
LP기업,한국선재,2019-11-14,http://www.ihalla.com/read.php3?aid=1573624894659597353,한라일보,철강업종내 상승종목 한국선재 +4 56% 대호피앤씨 +2 43% 한국특수형강 +0 76% 등
LP기업,한국선재,2019-11-14,http://hobbyissue.co.kr/news/view/117497,하빗슈, 철강업종개괄  철강 업 종 리드 종목  한국선재 115원 +4 04% 상승 대호피앤씨 25원 +2 43% 상승 세아특수강 100원 +0 73% 상승
LP기업,한국선재,2019-11-14,http://www.g-enews.com/ko-kr/news/article/news_all/201911131119479020a218188523_1/article.html,글로벌이코노믹,이낙연 테마주 급등… 투자 주의보
LP기업,한국선재,2019-11-13,http://hobbyissue.co.kr/news/view/115715,하빗슈, 업종 이슈  철강업 주요종목 11일 종가 제일제강 195원 +8 63% 상승 부국철강 295원 +6 34% 상승 DSR제강 270원 +6 33% 상승
LP기업,한국선재,2019-11-13,http://hobbyissue.co.kr/news/view/115558,하빗슈, 철강업종돋보기  철강 업 종 리드 종목  부국철강 385원 +8 27% 상승 제일제강 125원 +5 53% 상승 DSR제강 190원 +4 45% 상승
LP기업,현대공업,2019-11-17,http://www.fintechpost.co.kr/news/articleView.html?idxno=89007,블록체인밸리, 17일 낙찰/계약 동향  구례공공하수처리장 기계 시설물 도장 공사  신기면 대이리1반 소규모급수시설 관정개발공사  남한산성도립공원 유료주차장 주차관제설비 이전설치 공사外 낙찰/계약 동향
LP기업,현대공업,2019-11-16,http://www.fintechpost.co.kr/news/articleView.html?idxno=88998,블록체인밸리, 16일 낙찰/계약 동향  삼호중학교 학교시설물 보수공사  교통안전시설물 정비공사 단가계약  7회   2019년 가로수 전정사업 4차 外 낙찰/계약 동향
LP기업,현대공업,2019-11-16,http://www.newspim.com/news/view/20191115000118,뉴스핌,현대공업 3Q 실적  매출액 311억원 전분기 대비 -23 0% 감소    영업이익 적자전환  개별 확정 
LP기업,현대공업,2019-11-15,http://www.sentv.co.kr/news/view/563876,서울경제TV,현대공업  3분기 매출액 353억… 전년比 4%↑
LP기업,현대공업,2019-11-14,http://www.fintechpost.co.kr/news/articleView.html?idxno=88153,블록체인밸리, 13일 낙찰/계약 동향  전주서신초 교실증축 소방공사 감리용역  2019학년도 교과융합수업 및 주제선택융합체험학습 차량 임차  마케팅 교육 연계 인플루언서 마케팅 지원사업 수행용역外 낙찰/계약 동향
LP기업,현대공업,2019-11-17,https://www.sedaily.com/NewsView/1VQS4XCN2H,서울경제, 만파식적  리옹
LP기업,현대공업,2019-11-12,http://newsbrite.net/129750,뉴스브라이트,앞선투자그룹  현대 제네시스 GV80 출시 임박  자동차株 관심 증가 
LP기업,현대공업,2019-11-12,http://www.fintechpost.co.kr/news/articleView.html?idxno=87711,블록체인밸리, 일자리 취업 정보/종합  근로복지공단  국립중앙의료원  한국국토정보공사  한국보훈복지의료공단 외 채용 공고…한국청소년활동진흥원 오는 18일까지 입사지원서 접수 
자매기업,선보엔젤파트너스,2019-11-17,http://www.newstomato.com/ReadNews.aspx?no=933655,뉴스토마토,금융권  스타트업 육성 확대일로… 유니콘기업 직접키운다 
자매기업,선보엔젤파트너스,2019-11-16,http://www.wikitree.co.kr/main/news_view.php?id=480994,위키트리,BNK금융  지역 스타트업 활성화 위한 투자펀드 만든다
자매기업,선보엔젤파트너스,2019-11-16,http://www.kukinews.com/news/article.html?no=719513,쿠키뉴스, 금융 이모저모  우리은행 대학생 보이스피싱 피해예방 UCC공모전 시상 外 BNK 경남
자매기업,선보엔젤파트너스,2019-11-16,http://www.ksilbo.co.kr/news/articleView.html?idxno=737210,경상일보,BNK  부울경 스타트업 지원 40억규모 펀드 조성
자매기업,선보엔젤파트너스,2019-11-15,http://www.edaily.co.kr/news/newspath.asp?newsid=04378806622685720,이데일리, 포토  부울경 스타트업 투자펀드 약정식
자매기업,선보엔젤파트너스,2019-11-15,http://www.hdhy.co.kr/news/articleView.html?idxno=10703,현대해양,기업은행  내년 상반기  IBK창공 創工   참여기업 모집
자매기업,선보엔젤파트너스,2019-11-17,https://www.sedaily.com/NewsView/1VQRPVNMKQ,서울경제,IBK창공 내년 혁신창업기업 모집
자매기업,선보엔젤파트너스,2019-11-15,http://www.newsworks.co.kr/news/articleView.html?idxno=410346,뉴스웍스,기업은행  IBK창공에서 혁신성장의 꿈 이루세요 
자매기업,선보엔젤파트너스,2019-11-17,http://www.etnews.com/20191112000153,전자신문,기업은행   IBK창공  2020년 상반기 혁신 창업기업 모집…투 융자  컨설팅 혜택
자매기업,선보엔젤파트너스,2019-11-15,http://www.ddaily.co.kr/news/article.html?no=188221,디지털데일리,IBK기업은행  창업육성 플랫폼 ‘IBK창공 創工 ’ 2020년 상반기 혁신 창업기업 모집
자매기업,선보엔젤파트너스,2019-11-13,https://www.venturesquare.net/795581,벤처스퀘어,기업은행  창업 육성 플랫폼 ‘IBK창공’ 참여 기업 모집
